Vehicle ID,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other,Driver_id
A-744876,0,0,1,0,0,0,0,0,1,0,0,0,1068545
A-744877,0,0,1,0,0,0,0,0,0,0,0,0,1068575
A-744878,0,0,0,0,0,0,0,0,0,0,0,0,1049528
A-744879,0,0,0,0,0,0,0,0,1,0,0,0,1068542
A-744880,0,0,0,0,0,1,0,0,1,0,0,0,1068350
A-744881,0,0,0,0,0,0,0,2,0,0,0,0,1067874
A-744882,0,0,0,0,0,0,0,1,1,0,0,0,1068509
A-744883,0,0,0,0,0,0,0,0,1,0,0,0,1034693
A-744884,0,0,0,0,0,0,0,0,0,0,0,0,1068508
A-744885,0,0,0,0,0,0,0,0,1,0,0,1,1066641
A-744886,0,0,0,0,0,0,0,0,0,0,0,0,1068315
A-744887,0,0,0,0,0,0,1,0,0,0,0,0,1068309
A-744888,0,0,0,0,0,0,0,0,0,0,0,0,1068326
A-744889,0,0,1,0,0,0,0,1,0,0,0,0,1066767
A-744890,0,1,0,0,0,0,0,0,0,0,0,0,1068484
A-744891,0,0,0,1,0,0,0,0,0,0,0,0,1068292
A-744892,0,0,1,0,0,0,0,0,1,0,0,0,1068273
A-744893,0,0,1,0,0,0,0,0,0,0,0,0,1068274
A-744894,0,1,1,0,0,0,0,0,0,0,0,0,1068440
A-744895,0,1,0,0,0,0,0,0,0,0,0,0,1046456
A-744896,0,0,0,0,1,0,0,0,0,0,0,0,1068012
A-744897,0,0,0,0,0,0,0,0,1,0,0,0,1055725
A-744898,0,0,2,0,0,0,0,0,0,0,0,0,1061814
A-744899,0,0,0,0,0,0,0,0,0,0,0,0,1068232
A-744900,0,0,0,0,0,0,0,0,2,0,0,0,1068405
A-744901,0,0,0,0,1,0,0,0,1,0,0,0,1068395
A-744902,0,0,0,0,0,0,0,0,1,0,0,0,1068202
A-744903,0,0,0,0,1,0,0,0,0,0,0,0,1068006
A-744904,0,0,0,0,0,0,0,0,0,0,0,0,1068075
A-744905,0,0,0,0,0,0,0,0,0,0,0,0,1065642
A-744906,0,0,0,0,0,0,0,0,3,0,0,0,1068179
A-744907,0,0,0,0,0,0,0,0,2,0,0,0,1068158
A-744908,0,0,0,0,0,0,0,0,0,0,0,0,1068180
A-744909,0,0,0,0,0,0,0,0,0,0,0,0,1065673
A-744910,0,0,1,0,0,0,0,0,2,0,0,0,1068159
A-744911,0,1,0,0,0,0,0,0,0,0,0,0,1068165
A-744912,0,0,0,0,0,0,0,0,0,0,0,0,1059689
A-744913,0,0,0,0,0,0,0,0,0,0,0,0,1066215
A-744914,0,0,0,0,0,0,0,0,0,0,0,0,1063270
A-744915,0,0,0,0,0,0,0,0,0,0,0,0,1067931
A-744916,0,0,0,0,0,0,0,0,0,0,0,0,1067922
A-744917,0,0,0,0,0,0,0,1,0,0,0,0,1067919
A-744918,0,0,0,0,0,1,0,0,1,0,0,0,1068106
A-744919,0,0,0,0,0,0,0,0,2,0,0,0,1068111
A-744920,0,0,0,0,1,0,0,0,0,0,0,0,1067655
A-744921,0,0,0,0,1,0,0,0,0,0,0,0,1060662
A-744922,0,0,0,0,0,0,1,0,0,0,0,0,1061304
